Index,RAP_ID,Transcript_ID,Description,Position,Gene_Symbol,Gene_Name,GO
246,Os06g0166500,Os06t0166500-01,"Aux/IAA protein, Mediation of abiotic stress tolerance, Drought and salt tolerance (Os06t0166500-01)",chr06:3342464..3346318 (- strand),IAA20,AUX/IAA PROTEIN 20,Biological Process: regulation of DNA-templated transcription (GO:0006355)Cellular Component: nucleus (GO:0005634)
247,Os06g0171900,Os06t0171900-01 ; Os06t0171900-02,"WD40 subfamily protein, Salt stress (Os06t0171900-01) Similar to GAMYB-binding protein (Fragment). (Os06t0171900-02)",chr06:3632670..3639453 (+ strand),SRWD3,SALT RESPONSIVE WD40 PROTEIN 3,Molecular Function: protein binding (GO:0005515)
248,Os06g0183800,Os06t0183800-01,"Chromatin remodeling factor 702, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response, Response to M. oryzae infection (Os06t0183800-01)",chr06:4167248..4183927 (- strand),PKL,PICKLE,Biological Process: chromatin remodeling (GO:0006338)Molecular Function: ATP binding (GO:0005524) DNA binding (GO:0003677)
249,Os06g0210500,Os06t0210500-01,"Mitochondrial phosphate transporter 3, Salt tolerance (Os06t0210500-01)",chr06:5638279..5641331 (+ strand),PT18,PHOSPHATE TRANSPORTER 18,Biological Process: mitochondrial phosphate ion transmembrane transport (GO:1990547)Molecular Function: phosphate transmembrane transporter activity (GO:0005315)
250,Os06g0226700,Os06t0226700-01,"Class-I TCP transcription factor, Water-deficit and salt stress response, Negative regulation of tillering (Os06t0226700-01)",chr06:6571018..6572598 (+ strand),TCP19,TEOSINTE BRANCHED/CYCLOIDEA/PROLIFERATING CELL FACTOR 19,Molecular Function: DNA-binding transcription factor activity (GO:0003700)
251,Os06g0241100,Os06t0241100-01,"Atypical S-receptor protein kinase, Membrane-associated kinase-5, Response to drought stress in tolerant genotype, Response to submergence, Positive regulation of leaf width and salt tolerance (Os06t0241100-01)",chr06:7325616..7327449 (- strand),MAK5,MEMBRANE-ASSOCIATED KINASE-5,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672)
252,Os06g0255700,Os06t0255700-01,"Chromatin remodeling factor 737, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response, Response to M. oryzae infection (Os06t0255700-01)",chr06:8097302..8104472 (+ strand),CHR737,CHROMATIN REMODELING FACTOR 737,Biological Process: gene silencing by siRNA-directed DNA methylation (GO:0080188)Molecular Function: ATP binding (GO:0005524)
253,Os06g0472000,Os06t0472000-01 ; Os06t0472000-02,"Methionine sulfoxide reductase B1, Oxidative stress tolerance, Salt tolerance (Os06t0472000-01) Hypothetical gene. (Os06t0472000-02)",chr06:15718546..15721373 (- strand),MSRB1,METHIONINE SULFOXIDE REDUCTASE B1,"Biological Process: protein repair (GO:0030091) response to oxidative stress (GO:0006979)Molecular Function: oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671) peptide-methionine (R)-S-oxide reductase activity (GO:0033743)"
254,Os06g0487900,Os06t0487900-01 ; Os06t0487900-02,"SUMO (Small Ubiquitin-like Modifier) Protease, Salt tolerance (Os06t0487900-01) Hypothetical conserved gene. (Os06t0487900-02)",chr06:16732927..16745662 (- strand),OTS1,OVERLY TOLERANT TO SALT1,Biological Process: proteolysis (GO:0006508)Molecular Function: cysteine-type peptidase activity (GO:0008234)
255,Os06g0526600,Os06t0526600-01,"DEAD-box helicase ATP-binding protein, Response to abiotic stress (salt, dehydration, ABA, blue and red light) (Os06t0526600-01)",chr06:19516630..19524702 (- strand),,,Molecular Function: ATP binding (GO:0005524) nucleic acid binding (GO:0003676)
256,Os06g0567900,Os06t0567900-01,"L-ascorbate oxidase, Cold, salt, drought stress response (Os06t0567900-01)",chr06:21951201..21955132 (+ strand),AAO2,ASCORBATE OXIDASE 2,Molecular Function: copper ion binding (GO:0005507) oxidoreductase activity (GO:0016491)Cellular Component: extracellular region (GO:0005576)
257,Os06g0609500,Os06t0609500-01,"MYB-CC transcription factor, Maintenance of phosphate (Pi) homeostasis, Salt stress tolerance (Os06t0609500-01)",chr06:24268909..24273342 (+ strand),PHL7,PHOSPHATE STARVATION RESPONSE-LIKE 7,Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
258,Os06g0612800,Os06t0612800-01 ; Os06t0612800-02,"A member of stress associated protein (SAP) gene family, A20 and AN1 type zinc finger domain containing protein, ""Tolerance to salt, drought and cold stress"" (Os06t0612800-01) Similar to cDNA clone:006-301-C11, full insert sequence. (Os06t0612800-02)",chr06:24491993..24493907 (+ strand),SAP8,STRESS ASSOCIATED PROTEIN GENE 8,Molecular Function: DNA binding (GO:0003677) zinc ion binding (GO:0008270)
259,Os06g0625900,Os06t0625900-01,"Potassium transporter, Salt stress response, Alkali tolerance (Os06t0625900-01)",chr06:25238339..25242691 (- strand),HAK10,HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 10,Biological Process: potassium ion transmembrane transport (GO:0071805)Molecular Function: potassium ion transmembrane transporter activity (GO:0015079)Cellular Component: membrane (GO:0016020)
260,Os06g0633500,Os06t0633500-01,"Cytoplasmic-localized RING finger protein, Positive regulation in response to salt and drought stress (Os06t0633500-01)",chr06:25680953..25682275 (- strand),DSNP1,DESYNAPSIS 1,
261,Os06g0639200,Os06t0639200-01 ; Os06t0639200-02,"Similar to Transcription factor AP2D22 (Fragment). (Os06t0639200-01) APETALA2 (AP2)-type transcription factor, Positive regulation of seed germination, Salt tolerance (Os06t0639200-02)",chr06:25976989..25980914 (- strand),AP2/EREBP59,APETALA2/ETHYLENE-RESPONSIVE ELEMENT BINDING PROTEIN 59,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
262,Os06g0659100,Os06t0659100-01,"Squamosa promoter-binding-like protein, Transcription factor, Salt tolerance, Control of trichome formation (Os06t0659100-01)",chr06:27114925..27117096 (+ strand),SST,SEEDLING SALT TOLERANT,Molecular Function: DNA binding (GO:0003677)Cellular Component: nucleus (GO:0005634)
263,Os06g0665500,Os06t0665500-01,"Allantoate amidohydrolase, Preharvest sprouting resistance, Salt tolerance (Os06t0665500-01)",chr06:27495307..27499531 (- strand),PHS39,PREHARVEST SPROUTING 39,"Molecular Function: hydrolase activity (GO:0016787) hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines (GO:0016813)"
264,Os06g0683400,Os06t0683400-02,"Small calcium-binding protein with one EF-hand motif, Positive regulation of osmotic and salt tolerance (Os06t0683400-02)",chr06:28483812..28484488 (+ strand),CCD1,C-TERMINAL CENTRIN-LIKE DOMAIN 1,Molecular Function: calcium ion binding (GO:0005509)
265,Os06g0685700,Os06t0685700-01,"Auxin response factor 18, Transcriptional repressor, Regulation of source-sink carbohydrate partitioning and reproductive organ development, Regulation of nitrogen metabolism and salt tolerance (Os06t0685700-01)",chr06:28586492..28590205 (+ strand),RST1,RICE SALT TOLERANT 1,Biological Process: regulation of DNA-templated transcription (GO:0006355) response to hormone (GO:0009725)Molecular Function: DNA binding (GO:0003677)Cellular Component: nucleus (GO:0005634)
266,Os06g0687200,Os06t0687200-01,"Putative RING E3 ubiquitin (Ub) ligase, Negative regulator of drought and salt stress responses, Positive factor of cold stress response (Os06t0687200-01)",chr06:28652793..28654123 (+ strand),RING419,RING-TYPE E3 UBIQUITIN LIGASE 419,
267,Os06g0693700,Os06t0693700-01 ; Os06t0693700-02 ; Os06t0693700-03 ; Os06t0693700-04,"Protein of unknown function DUF1644 family protein. (Os06t0693700-01) DUF1644 family member protein, Positive regulation of salt and drought resistance (Os06t0693700-02) Similar to predicted protein. (Os06t0693700-03) Protein of unknown function DUF1644 family protein. (Os06t0693700-04)",chr06:28962588..28965940 (+ strand),SIDP366,STRESS INDUCED DUF1644 PROTEIN 366,
268,Os06g0695600,Os06t0695600-01,"RING E3 ligase, Negative regulator for salt-stress response (Os06t0695600-01)",chr06:29059705..29063780 (- strand),,,Molecular Function: ubiquitin protein ligase activity (GO:0061630)
269,Os06g0698785,Os06t0698785-01 ; Os06t0698785-02,"Similar to Choline monooxygenase. (Os06t0698785-01) Choline monooxygenase, Response to salt stress (Os06t0698785-02)",chr06:29347846..29352146 (+ strand),,,"Molecular Function: 2 iron, 2 sulfur cluster binding (GO:0051537) iron ion binding (GO:0005506)"
270,Os07g0151200,Os07t0151200-01,"Monosaccharide transporter (INT subfamily), Salt stress response, Response to IAA, 6-BA, SA, and GA treatments (Os07t0151200-01)",chr07:2686437..2689917 (+ strand),INT2,INOSITOL TRANSPORTER 2,Biological Process: transmembrane transport (GO:0055085)Molecular Function: transmembrane transporter activity (GO:0022857)Cellular Component: membrane (GO:0016020)
271,Os07g0164100,Os07t0164100-01,"RPD3/HDA1-type histone deacetylase HDA704, Positive regulation of drought and salt tolerance, Control of stomatal aperture and density (Os07t0164100-01)",chr07:3436026..3444708 (- strand),HDA704,HISTONE DEACETYLASE 704,
272,Os07g0231400,Os07t0231400-01,"Aromatic and neutral amino acid transporter 1, Positive regulation of growth and salt tolerance, Positive regulation of tillering and grain yield (Os07t0231400-01)",chr07:7310142..7313059 (+ strand),ANT1,AROMATIC AND NEUTRAL AMINO ACID TRANSPORTER 1,
273,Os07g0235200,Os07t0235200-01 ; Os07t0235200-02,"Protein of unknown function DUF296 domain containing protein. (Os07t0235200-01) AT-hook motif nuclear-localized (AHL) gene family protein 13, Response to drought and salt stress (Os07t0235200-02)",chr07:7500690..7503900 (- strand),AHL13,AT-HOOK MOTIF DNA-BINDING PROTEIN 13,Molecular Function: minor groove of adenine-thymine-rich DNA binding (GO:0003680)
274,Os07g0272300,Os07t0272300-01,Similar to Salt tolerance protein. (Os07t0272300-01),chr07:10057776..10059071 (- strand),,,Biological Process: response to desiccation (GO:0009269)
275,Os07g0434500,Os07t0434500-01,"Chromatin remodeling factor 736, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response, Response to M. oryzae infection (Os07t0434500-01)",chr07:14505905..14512599 (- strand),DRD1,DEFECTIVE IN RNA-DIRECTED DNA METHYLATION 1,Biological Process: gene silencing by siRNA-directed DNA methylation (GO:0080188)Molecular Function: ATP binding (GO:0005524)
276,Os07g0438550,Os07t0438550-01,Similar to salt-inducible protein kinase. (Os07t0438550-01),chr07:14730373..14731487 (+ strand),,,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: protein kinase activity (GO:0004672)
277,Os07g0495900,Os07t0495900-01 ; Os07t0495900-02 ; Os07t0495900-03 ; Os07t0495900-04,"DNA replication helicase 2_4, Salt stress response (Os07t0495900-01) Similar to predicted protein. (Os07t0495900-02) Similar to predicted protein. (Os07t0495900-03) Similar to predicted protein. (Os07t0495900-04)",chr07:18554946..18565210 (+ strand),DNA2_4,DNA REPLICATION HELICASE/NUCLEASE 2_4,"Biological Process: nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)Molecular Function: ATP binding (GO:0005524) DNA binding (GO:0003677) helicase activity (GO:0004386) hydrolase activity (GO:0016787) RNA binding (GO:0003723) RNA helicase activity (GO:0003724) zinc ion binding (GO:0008270)Cellular Component: cytoplasm (GO:0005737)"
278,Os07g0501100,Os07t0501100-01,"Chalcone synthase, Cold and salt stress response (Os07t0501100-01)",chr07:18873790..18875926 (- strand),PKS12,POLYKETIDE SYNTHASE 12,"Biological Process: biosynthetic process (GO:0009058)Molecular Function: acyltransferase activity (GO:0016746) acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747)"
279,Os07g0511500,Os07t0511500-01 ; Os07t0511500-02,"Zinc finger, RING/FYVE/PHD-type domain containing protein. (Os07t0511500-01) Chromatin remodeling factor 731, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response, Response to M. oryzae infection (Os07t0511500-02)",chr07:19538543..19545829 (+ strand),CHR731,CHROMATIN REMODELING FACTOR 731,Molecular Function: ATP binding (GO:0005524)
280,Os07g0529800,Os07t0529800-01,"SUI-homologous translation initiation factor, Regulation of ion homeostasis, Salt tolerance (Os07t0529800-01)",chr07:20733236..20735266 (- strand),,,Biological Process: translational initiation (GO:0006413)Molecular Function: translation initiation factor activity (GO:0003743)
281,Os07g0556800,Os07t0556800-01,"Ribosome-inactivating protein, Drought and salt tolerance (Os07t0556800-01)",chr07:22222300..22223336 (- strand),RIP18,RIBOSOME-INACTIVATING PROTEIN 18,Biological Process: negative regulation of translation (GO:0017148)Molecular Function: rRNA N-glycosylase activity (GO:0030598)
282,Os07g0561300,Os07t0561300-01,"F-box containing protein, Salt tolerance (Os07t0561300-01)",chr07:22411227..22413069 (- strand),FBOX396,F-BOX PROTEIN 396,Molecular Function: protein binding (GO:0005515)
283,Os07g0598300,Os07t0598300-01 ; Os07t0598300-02 ; Os07t0598300-03,"Hypothetical conserved gene. (Os07t0598300-01) Hypothetical conserved gene. (Os07t0598300-02) Chromatin remodeling factor, SMARCAL1 CHR, Salt tolerance (Os07t0598300-03)",chr07:24403299..24416683 (+ strand),CHR726,CHROMATIN REMODELING FACTOR 726,Molecular Function: ATP binding (GO:0005524) endonuclease activity (GO:0004519) nucleic acid binding (GO:0003676) zinc ion binding (GO:0008270)
284,Os07g0602200,Os07t0602200-01,"Histone deacetylase 713, RPD/HDA1 gene family, Response to cold, salt and drought stresses (Os07t0602200-01)",chr07:24592035..24598353 (+ strand),HDA713,HISTONE DEACETYLASE 713,
285,Os07g0608400,Os07t0608400-01,"Alfin-like (AL) transcription factor 8, Cold and salt stress response (Os07t0608400-01)",chr07:25013549..25017774 (+ strand),PHD35,PHD FINGER PROTEIN 35,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: histone binding (GO:0042393)
286,Os07g0623300,Os07t0623300-01,"SC subfamily protein, Serine/arginine (SR)-rich protein, Response to salt and heat stress (Os07t0623300-01)",chr07:25793520..25796646 (+ strand),SC35B,,Molecular Function: nucleic acid binding (GO:0003676) RNA binding (GO:0003723)
287,Os07g0624600,Os07t0624600-01,"Trehalose-6-phosphate phosphatase 3, Positive regulation of salt tolerance (Os07t0624600-01)",chr07:25867212..25871232 (+ strand),TPP3,TREHALOSE-6-PHOSPHATE PHOSHPHATASE 3,Biological Process: trehalose biosynthetic process (GO:0005992)Molecular Function: trehalose-phosphatase activity (GO:0004805)
288,Os07g0626600,Os07t0626600-01,"Histone acetyltransferase HAM701, Histone acetyltransferase of MYST gene family, Response to salt and drought stresses (Os07t0626600-01)",chr07:25958866..25963652 (- strand),HAM701,HISTONE ACETYLTRANSFERASE HAM701,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: histone acetyltransferase activity (GO:0004402)
289,Os07g0627300,Os07t0627300-01,"R2R3 MYB transcription factor, Regulation of the orientation of guard mother cell (GMC) symmetrical division, Salt tolerance (Os07t0627300-01)",chr07:25998785..26003373 (+ strand),FLP,FOUR LIPS,
290,Os07g0642400,Os07t0642400-01,"Chromatin remodeling factor 724, Sucrose non-fermenting 2 (Snf2) family protein, Salt stress response, Response to M. oryzae infection (Os07t0642400-01)",chr07:26734659..26738534 (+ strand),CHR724,CHROMATIN REMODELING FACTOR 724,"Molecular Function: ATP binding (GO:0005524) hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818) nucleic acid binding (GO:0003676) zinc ion binding (GO:0008270)"
291,Os07g0660200,Os07t0660200-01 ; Os07t0660200-02,"Similar to chromatin remodeling complex subunit. (Os07t0660200-01) Chromatin remodeling factor 705, Sucrose non-fermenting 2 (Snf2) family protein, Salt and drought stress response, Response to M. oryzae infection (Os07t0660200-02)",chr07:27825945..27840054 (- strand),CHR705,CHROMATIN REMODELING FACTOR 705,Molecular Function: ATP binding (GO:0005524)
292,Os07g0661600,Os07t0661600-01 ; Os07t0661600-02 ; Os07t0661600-03,"Similar to RNA-binding protein-like protein. (Os07t0661600-01) C3HC4-type E3-ubiquitin ligase, Salt tolerance, Na+/K+ homeostasis (Os07t0661600-02) Similar to RNA-binding protein. (Os07t0661600-03)",chr07:27915321..27921192 (- strand),,,Molecular Function: metal ion binding (GO:0046872)
293,Os07g0666900,Os07t0666900-01 ; Os07t0666900-02,"Vacuolar Na+/H+ antiporter, Salt tolerance (Os07t0666900-01) Similar to Sodium/hydrogen exchanger. (Os07t0666900-02)",chr07:28164424..28169307 (+ strand),NHX1,NA+/H+ ANTIPORTER,Biological Process: monoatomic cation transport (GO:0006812) proton transmembrane transport (GO:1902600) regulation of pH (GO:0006885) sodium ion transport (GO:0006814) transmembrane transport (GO:0055085)Molecular Function: antiporter activity (GO:0015297)Cellular Component: membrane (GO:0016020)
